song_id,user_A,user_B,similarity_count,overlap_pairs_count,user_A_unique_patterns,user_B_unique_patterns,user_A_total_patterns,user_B_total_patterns,total_pairs_compared
0,36,46,0,47,8,15,12,28,336
0,36,48,2,19,8,7,12,8,96
0,36,49,1,14,8,3,12,4,48
0,36,51,2,80,8,31,12,50,600
0,46,48,2,29,15,7,28,8,224
0,46,49,0,30,15,3,28,4,112
0,46,51,8,102,15,31,28,50,1400
0,48,49,0,10,7,3,8,4,32
0,48,51,1,56,7,31,8,50,400
0,49,51,0,54,3,31,4,50,200
1,36,46,4,47,12,10,22,17,374
1,36,48,4,81,12,14,22,21,462
1,36,49,0,22,12,3,22,4,88
1,36,51,0,49,12,8,22,13,286
1,46,48,3,68,10,14,17,21,357
1,46,49,0,18,10,3,17,4,68
1,46,51,0,43,10,8,17,13,221
1,48,49,1,24,14,3,21,4,84
1,48,51,1,70,14,8,21,13,273
1,49,51,0,16,3,8,4,13,52
2,36,46,4,47,21,33,23,42,966
2,36,48,8,39,21,30,23,37,851
2,36,49,2,35,21,15,23,21,483
2,36,51,7,52,21,29,23,37,851
2,46,48,11,92,33,30,42,37,1554
2,46,49,5,65,33,15,42,21,882
2,46,51,12,88,33,29,42,37,1554
2,48,49,2,54,30,15,37,21,777
2,48,51,12,74,30,29,37,37,1369
2,49,51,5,60,15,29,21,37,777
3,36,46,0,7,2,20,4,26,104
3,36,48,0,8,2,22,4,30,120
3,36,49,1,10,2,7,4,11,44
3,36,51,0,9,2,19,4,22,88
3,46,48,9,50,20,22,26,30,780
3,46,49,1,37,20,7,26,11,286
3,46,51,4,55,20,19,26,22,572
3,48,49,2,42,22,7,30,11,330
3,48,51,1,54,22,19,30,22,660
3,49,51,2,38,7,19,11,22,242
4,36,46,3,34,13,18,15,23,345
4,36,48,5,36,13,27,15,31,465
4,36,49,2,28,13,9,15,10,150
4,36,51,2,57,13,26,15,29,435
4,46,48,8,54,18,27,23,31,713
4,46,49,1,35,18,9,23,10,230
4,46,51,4,77,18,26,23,29,667
4,48,49,1,45,27,9,31,10,310
4,48,51,6,90,27,26,31,29,899
4,49,51,2,52,9,26,10,29,290
5,36,46,6,28,9,30,15,39,585
5,36,48,6,39,9,38,15,56,840
5,36,49,2,22,9,18,15,21,315
5,36,51,2,31,9,29,15,33,495
5,46,48,26,85,30,38,39,56,2184
5,46,49,2,45,30,18,39,21,819
5,46,51,10,76,30,29,39,33,1287
5,48,49,3,61,38,18,56,21,1176
5,48,51,10,101,38,29,56,33,1848
5,49,51,9,51,18,29,21,33,693
6,36,46,14,95,14,73,49,159,7791
6,36,48,0,73,14,38,49,66,3234
6,36,49,0,49,14,11,49,11,539
6,36,51,6,100,14,45,49,89,4361
6,46,48,8,170,73,38,159,66,10494
6,46,49,0,160,73,11,159,11,1749
6,46,51,14,354,73,45,159,89,14151
6,48,49,0,66,38,11,66,11,726
6,48,51,3,167,38,45,66,89,5874
6,49,51,2,93,11,45,11,89,979
7,36,46,0,120,21,28,36,80,2880
7,36,48,14,81,21,24,36,46,1656
7,36,49,0,59,21,16,36,18,648
7,36,51,2,64,21,18,36,20,720
7,46,48,1,143,28,24,80,46,3680
7,46,49,5,105,28,16,80,18,1440
7,46,51,5,114,28,18,80,20,1600
7,48,49,0,70,24,16,46,18,828
7,48,51,2,75,24,18,46,20,920
7,49,51,16,45,16,18,18,20,360
8,36,46,40,182,43,54,63,73,4599
8,36,48,17,136,43,39,63,47,2961
8,36,49,0,93,43,22,63,22,1386
