score,user1,user2,n_patterns_user1,n_patterns_user2,n_overlap_patterns,n_union_patterns,jaccard
000_bach_-_cantata_bwv_1_mvt_6_horn,36,46,0,0,0,0,0.0
000_bach_-_cantata_bwv_1_mvt_6_horn,36,48,0,0,0,0,0.0
000_bach_-_cantata_bwv_1_mvt_6_horn,36,49,0,0,0,0,0.0
000_bach_-_cantata_bwv_1_mvt_6_horn,36,51,0,0,0,0,0.0
000_bach_-_cantata_bwv_1_mvt_6_horn,46,48,0,0,0,0,0.0
000_bach_-_cantata_bwv_1_mvt_6_horn,46,49,0,0,0,0,0.0
000_bach_-_cantata_bwv_1_mvt_6_horn,46,51,0,0,0,0,0.0
000_bach_-_cantata_bwv_1_mvt_6_horn,48,49,0,0,0,0,0.0
000_bach_-_cantata_bwv_1_mvt_6_horn,48,51,0,0,0,0,0.0
000_bach_-_cantata_bwv_1_mvt_6_horn,49,51,0,0,0,0,0.0
001_bach_-_cantata_bwv_2_mvt_6_soprano,36,46,0,0,0,0,0.0
001_bach_-_cantata_bwv_2_mvt_6_soprano,36,48,0,0,0,0,0.0
001_bach_-_cantata_bwv_2_mvt_6_soprano,36,49,0,0,0,0,0.0
001_bach_-_cantata_bwv_2_mvt_6_soprano,36,51,0,0,0,0,0.0
001_bach_-_cantata_bwv_2_mvt_6_soprano,46,48,0,0,0,0,0.0
001_bach_-_cantata_bwv_2_mvt_6_soprano,46,49,0,0,0,0,0.0
001_bach_-_cantata_bwv_2_mvt_6_soprano,46,51,0,0,0,0,0.0
001_bach_-_cantata_bwv_2_mvt_6_soprano,48,49,0,0,0,0,0.0
001_bach_-_cantata_bwv_2_mvt_6_soprano,48,51,0,0,0,0,0.0
001_bach_-_cantata_bwv_2_mvt_6_soprano,49,51,0,0,0,0,0.0
002_beethoven_-_string quartet_op_18_no_1_violin_i,36,46,0,0,0,0,0.0
002_beethoven_-_string quartet_op_18_no_1_violin_i,36,48,0,0,0,0,0.0
002_beethoven_-_string quartet_op_18_no_1_violin_i,36,49,0,0,0,0,0.0
002_beethoven_-_string quartet_op_18_no_1_violin_i,36,51,0,0,0,0,0.0
002_beethoven_-_string quartet_op_18_no_1_violin_i,46,48,0,0,0,0,0.0
002_beethoven_-_string quartet_op_18_no_1_violin_i,46,49,0,0,0,0,0.0
002_beethoven_-_string quartet_op_18_no_1_violin_i,46,51,0,0,0,0,0.0
002_beethoven_-_string quartet_op_18_no_1_violin_i,48,49,0,0,0,0,0.0
002_beethoven_-_string quartet_op_18_no_1_violin_i,48,51,0,0,0,0,0.0
002_beethoven_-_string quartet_op_18_no_1_violin_i,49,51,0,0,0,0,0.0
003_haydn_-_string_quartet_op_74_no_1,36,46,0,0,0,0,0.0
003_haydn_-_string_quartet_op_74_no_1,36,48,0,0,0,0,0.0
003_haydn_-_string_quartet_op_74_no_1,36,49,0,0,0,0,0.0
003_haydn_-_string_quartet_op_74_no_1,36,51,0,0,0,0,0.0
003_haydn_-_string_quartet_op_74_no_1,46,48,0,0,0,0,0.0
003_haydn_-_string_quartet_op_74_no_1,46,49,0,0,0,0,0.0
003_haydn_-_string_quartet_op_74_no_1,46,51,0,0,0,0,0.0
003_haydn_-_string_quartet_op_74_no_1,48,49,0,0,0,0,0.0
003_haydn_-_string_quartet_op_74_no_1,48,51,0,0,0,0,0.0
